Time (sec), Heater 1 (%), Temperature 1 (degC), Heater 2 (%), Temperature 2 (degC)
5.298190197944641113e+02,6.801136129995119006e+01,7.464614196786956768e+01,6.375999999999999801e+01,5.325000000000000000e+01
5.328188769817352295e+02,6.801136129995119006e+01,7.464614196786956768e+01,6.372999999999999687e+01,5.318999999999999773e+01
5.358166029453277588e+02,6.801136129995119006e+01,7.464614196786956768e+01,6.372999999999999687e+01,5.313000000000000256e+01
5.388167588710784912e+02,8.000000000000000000e+01,7.464614196786956768e+01,6.372999999999999687e+01,5.325000000000000000e+01
5.418137969970703125e+02,8.000000000000000000e+01,7.464614196786956768e+01,6.360000000000000142e+01,5.313000000000000256e+01
5.448104047775268555e+02,8.000000000000000000e+01,7.464614196786956768e+01,6.363000000000000256e+01,5.271000000000000085e+01
5.478103680610656738e+02,8.000000000000000000e+01,7.464614196786956768e+01,6.372999999999999687e+01,5.274000000000000199e+01
5.508106288909912109e+02,8.000000000000000000e+01,7.464614196786956768e+01,6.399000000000000199e+01,5.306000000000000227e+01
5.538108789920806885e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.420999999999999375e+01,5.313000000000000256e+01
5.568102538585662842e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.450000000000000000e+01,5.260999999999999943e+01
5.598040730953216553e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.465999999999999659e+01,5.282999999999999829e+01
5.628027579784393311e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.501999999999999602e+01,5.303000000000000114e+01
5.657960078716278076e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.531000000000000227e+01,5.274000000000000199e+01
5.687874269485473633e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.568999999999999773e+01,5.321999999999999886e+01
5.717819988727569580e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.595000000000000284e+01,5.309000000000000341e+01
5.747786650657653809e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.601999999999999602e+01,5.260999999999999943e+01
5.777750930786132812e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.610999999999999943e+01,5.235000000000000142e+01
5.807753078937530518e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.650000000000000000e+01,5.253999999999999915e+01
5.837755558490753174e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.684999999999999432e+01,5.228999999999999915e+01
5.867659368515014648e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.734000000000000341e+01,5.238000000000000256e+01
5.897656190395355225e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.771999999999999886e+01,5.232000000000000028e+01
5.927595908641815186e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.807999999999999829e+01,5.245000000000000284e+01
5.957502360343933105e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.840000000000000568e+01,5.189999999999999858e+01
5.987504749298095703e+02,8.000000000000000000e+01,2.500000000000000000e+01,6.859000000000000341e+01,5.189999999999999858e+01
